author,comment,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@bagussusilo8477,Itu murni alam atau man made disaster ya,itu murni alam atau man made disaster ya,itu murni alam atau man made disaster iya,murni alam man made disaster iya,"['murni', 'alam', 'man', 'made', 'disaster', 'iya']","['murni', 'alam', 'iya']",murni alam iya,2
@desyfamily,Mungkin Tuhan mulai bosan ....<br>Melihat tingkah kita.. <br>Yang selalu salah dan bangga dengan dosa-dosa.... <br>........<br>Du du du du duuuuu..... 🎼🎤🎤🎤🎤🎤🎤,mungkin tuhan mulai bosan brmelihat tingkah kita bryang selalu salah dan bangga dengan dosadosa brbrdu du du du duuuuu,mungkin tuhan mulai bosan brmelihat tingkah kita bryang selalu salah dan bangga dengan dosadosa brbrdu du du du duuuuu,tuhan bosan brmelihat tingkah bryang salah bangga dosadosa brbrdu du du du duuuuu,"['tuhan', 'bosan', 'brmelihat', 'tingkah', 'bryang', 'salah', 'bangga', 'dosadosa', 'brbrdu', 'du', 'du', 'du', 'duuuuu']","['tuhan', 'bosan', 'brmelihat', 'tingkah', 'bryang', 'salah', 'bangga', 'dosadosa', 'brbrdu', 'du', 'du', 'du', 'duuuuu']",tuhan bosan brmelihat tingkah bryang salah bangga dosadosa brbrdu du du du duuuuu,1
@priyantisafitri3780,"Sejak sekarang, berdoalah di tengah malam yg sunyi, mohon ditunjukkan siapakah &quot;ALLAH YG BENAR&quot; dlm hidup ini, agar jiwamu selamat di akhirat nanti...",sejak sekarang berdoalah di tengah malam yg sunyi mohon ditunjukkan siapakah quotallah yg benarquot dlm hidup ini agar jiwamu selamat di akhirat nanti,sejak sekarang berdoalah di tengah malam yang sunyi mohon ditunjukkan siapakah quotallah yang benarquot dalam hidup ini agar jiwamu selamat di akhirat nanti,berdoalah malam sunyi mohon quotallah benarquot hidup jiwamu selamat akhirat,"['berdoalah', 'malam', 'sunyi', 'mohon', 'quotallah', 'benarquot', 'hidup', 'jiwamu', 'selamat', 'akhirat']","['berdoalah', 'malam', 'sunyi', 'mohon', 'quotallah', 'benarquot', 'hidup', 'jiwamu', 'selamat', 'akhirat']",doa malam sunyi mohon quotallah benarquot hidup jiwa selamat akhirat,3
@sultantgr9516,Laahaula wa laa quwwata illa billah.,laahaula wa laa quwwata illa billah,laahaula wa laa quwwata illa billah,laahaula wa laa quwwata illa billah,"['laahaula', 'wa', 'laa', 'quwwata', 'illa', 'billah']","['laahaula', 'laa', 'quwwata', 'illa', 'billah']",laahaula laa quwwata illa billah,3
@sultantgr9516,Bismillahirrahmanirrahim .<br>Asyhaduanlaailaahaillallah waasyhaduanna Muhammad rasulullah.<br>Allahumma shalli &#39;alaa Muhammad wa &#39;alaa aali Muhammad.<br>Insya Allah tidak terjadi .<br>Allahumma aamiin.,bismillahirrahmanirrahim brasyhaduanlaailaahaillallah waasyhaduanna muhammad rasulullahbrallahumma shalli 39alaa muhammad wa 39alaa aali muhammadbrinsya allah tidak terjadi brallahumma aamiin,bismillahirrahmanirrahim brasyhaduanlaailaahaillallah waasyhaduanna muhammad rasulullahbrallahumma shalli 39alaa muhammad wa 39alaa aali muhammadbrinsya allah tidak terjadi brallahumma amin,bismillahirrahmanirrahim brasyhaduanlaailaahaillallah waasyhaduanna muhammad rasulullahbrallahumma shalli 39alaa muhammad wa 39alaa aali muhammadbrinsya allah brallahumma amin,"['bismillahirrahmanirrahim', 'brasyhaduanlaailaahaillallah', 'waasyhaduanna', 'muhammad', 'rasulullahbrallahumma', 'shalli', '39alaa', 'muhammad', 'wa', '39alaa', 'aali', 'muhammadbrinsya', 'allah', 'brallahumma', 'amin']","['bismillahirrahmanirrahim', 'brasyhaduanlaailaahaillallah', 'waasyhaduanna', 'muhammad', 'rasulullahbrallahumma', 'shalli', '39alaa', 'muhammad', '39alaa', 'aali', 'muhammadbrinsya', 'allah', 'brallahumma']",bismillahirrahmanirrahim brasyhaduanlaailaahaillallah waasyhaduanna muhammad rasulullahbrallahumma shalli 39alaa muhammad 39alaa aali muhammadbrinsya allah brallahumma,3
@edirizal3007,😱,,,,[],[],,2
@Nadirangkasa,Yaa allah ampunilah dosa seluruh umat mu dan jauhkanlah dari segala marabahaya amiiiiiin.,yaa allah ampunilah dosa seluruh umat mu dan jauhkanlah dari segala marabahaya amiiiiiin,yaa allah ampunilah dosa seluruh umat mu dan jauhkanlah dari segala marabahaya amiiiiiin,yaa allah ampunilah dosa umat mu jauhkanlah marabahaya amiiiiiin,"['yaa', 'allah', 'ampunilah', 'dosa', 'umat', 'mu', 'jauhkanlah', 'marabahaya', 'amiiiiiin']","['yaa', 'allah', 'ampunilah', 'umat', 'jauhkanlah', 'marabahaya', 'amiiiiiin']",yaa allah ampun umat jauh marabahaya amiiiiiin,3
@mohammadrio5378,Astaghfirullah... Mdah2an saudara2 qta y d bagian barat diberikan kslamatan. Bnyak2 brdoa y smua,astaghfirullah mdah2an saudara2 qta y d bagian barat diberikan kslamatan bnyak2 brdoa y smua,astaghfirullah mdah2an saudara2 qta ya di bagian barat diberikan kslamatan bnyak2 brdoa ya semua,astaghfirullah mdah2an saudara2 qta ya barat kslamatan bnyak2 brdoa ya,"['astaghfirullah', 'mdah2an', 'saudara2', 'qta', 'ya', 'barat', 'kslamatan', 'bnyak2', 'brdoa', 'ya']","['astaghfirullah', 'mdah2an', 'saudara2', 'qta', 'barat', 'kslamatan', 'bnyak2', 'brdoa']",astaghfirullah mdah2an saudara2 qta barat kslamatan bnyak2 brdoa,3
@sgt6711,Sekarang paham kan knapa ibukota tergesa2 mau dipindah,sekarang paham kan knapa ibukota tergesa2 mau dipindah,sekarang paham akan knapa ibukota tergesa2 mau dipindah,paham knapa ibukota tergesa2 dipindah,"['paham', 'knapa', 'ibukota', 'tergesa2', 'dipindah']","['paham', 'knapa', 'ibukota', 'tergesa2', 'dipindah']",paham knapa ibukota tergesa2 pindah,2
@fuka058,"gampang aja sabotase iklim, lakukan pemboman bawah laut deket jakarta , biar orang pada panik, setelah itu umunkan jakarta sudah tidak aman, ibu kota harus segera di pindahkan. ga ada yg ga mungkin buat ambisi politik.",gampang aja sabotase iklim lakukan pemboman bawah laut deket jakarta biar orang pada panik setelah itu umunkan jakarta sudah tidak aman ibu kota harus segera di pindahkan ga ada yg ga mungkin buat ambisi politik,gampang saja sabotase iklim lakukan pemboman bawah laut dekat jakarta biar orang pada panik setelah itu umunkan jakarta sudah tidak aman ibu kota harus segera di pindahkan tidak ada yang tidak mungkin buat ambisi politik,gampang sabotase iklim lakukan pemboman laut jakarta biar orang panik umunkan jakarta aman kota pindahkan ambisi politik,"['gampang', 'sabotase', 'iklim', 'lakukan', 'pemboman', 'laut', 'jakarta', 'biar', 'orang', 'panik', 'umunkan', 'jakarta', 'aman', 'kota', 'pindahkan', 'ambisi', 'politik']","['gampang', 'sabotase', 'iklim', 'lakukan', 'pemboman', 'laut', 'jakarta', 'biar', 'panik', 'umunkan', 'jakarta', 'aman', 'kota', 'pindahkan', 'ambisi', 'politik']",gampang sabotase iklim laku bom laut jakarta biar panik umun jakarta aman kota pindah ambisi politik,1
@wenningning5659,Innalilahi wainlilahi rojiun,innalilahi wainlilahi rojiun,innalilahi wainlilahi rojiun,innalilahi wainlilahi rojiun,"['innalilahi', 'wainlilahi', 'rojiun']","['innalilahi', 'wainlilahi', 'rojiun']",innalilahi wainlilahi rojiun,2
@devyayuindrawati2393,Harusnya persiapkan hal2 yang menunjang sarana dan prasarana untuk meminimalisir korban jiwa dan kerusakan fasilitas umum dan bangunan bukannya malah sibuk urus ibukota baru. Dananya bisa di alihkan untuk yang lbh prioritas.,harusnya persiapkan hal2 yang menunjang sarana dan prasarana untuk meminimalisir korban jiwa dan kerusakan fasilitas umum dan bangunan bukannya malah sibuk urus ibukota baru dananya bisa di alihkan untuk yang lbh prioritas,harusnya persiapkan hal2 yang menunjang sarana dan prasarana untuk meminimalisir korban jiwa dan kerusakan fasilitas umum dan bangunan bukannya bahkan sibuk urus ibukota baru dananya bisa di alihkan untuk yang lebih prioritas,persiapkan hal2 menunjang sarana prasarana meminimalisir korban jiwa kerusakan fasilitas bangunan sibuk urus ibukota dananya alihkan prioritas,"['persiapkan', 'hal2', 'menunjang', 'sarana', 'prasarana', 'meminimalisir', 'korban', 'jiwa', 'kerusakan', 'fasilitas', 'bangunan', 'sibuk', 'urus', 'ibukota', 'dananya', 'alihkan', 'prioritas']","['persiapkan', 'hal2', 'menunjang', 'sarana', 'prasarana', 'meminimalisir', 'korban', 'jiwa', 'kerusakan', 'fasilitas', 'bangunan', 'sibuk', 'ibukota', 'dananya', 'alihkan', 'prioritas']",siap hal2 tunjang sarana prasarana meminimalisir korban jiwa rusa fasilitas bangun sibuk ibukota dana alih prioritas,1
@xeromero8746,Kayaknya dari tahun belakangan udah pernah di wanti-wanti kalo mo ada gempa gede di jawa 😑,kayaknya dari tahun belakangan udah pernah di wantiwanti kalo mo ada gempa gede di jawa,kayaknya dari tahun belakangan sudah pernah di wantiwanti kalau mau ada gempa gede di jawa,kayaknya wantiwanti gempa gede jawa,"['kayaknya', 'wantiwanti', 'gempa', 'gede', 'jawa']","['kayaknya', 'wantiwanti', 'gempa', 'gede', 'jawa']",kayak wantiwanti gempa gede jawa,1
@YooMinGue003,Wahai para pemimpin yg dholim cepatlah bertobat.,wahai para pemimpin yg dholim cepatlah bertobat,wahai para pemimpin yang dholim cepatlah bertobat,pemimpin dholim cepatlah bertobat,"['pemimpin', 'dholim', 'cepatlah', 'bertobat']","['pemimpin', 'dholim', 'cepatlah', 'bertobat']",pimpin dholim cepat tobat,1
@nanhimawan1002,"bbrapa tahun yg lalu pernah mimpi jakarta dan sekitarannya rata kena gempa &amp; tsunami , semua kacau , mengerikan . dan skrg malah denger berita begini , ya Allah lindungi kami semua &amp; ampuni dosa2 kami .",bbrapa tahun yg lalu pernah mimpi jakarta dan sekitarannya rata kena gempa amp tsunami semua kacau mengerikan dan skrg malah denger berita begini ya allah lindungi kami semua amp ampuni dosa2 kami,bbrapa tahun yang lalu pernah mimpi jakarta dan sekitarannya rata kena gempa amp tsunami semua kacau mengerikan dan sekarang bahkan dengar berita begini iya allah lindungi kami semua amp ampuni dosa2 kami,bbrapa mimpi jakarta sekitarannya kena gempa amp tsunami kacau mengerikan dengar berita iya allah lindungi amp ampuni dosa2,"['bbrapa', 'mimpi', 'jakarta', 'sekitarannya', 'kena', 'gempa', 'amp', 'tsunami', 'kacau', 'mengerikan', 'dengar', 'berita', 'iya', 'allah', 'lindungi', 'amp', 'ampuni', 'dosa2']","['bbrapa', 'mimpi', 'jakarta', 'sekitarannya', 'kena', 'gempa', 'amp', 'kacau', 'mengerikan', 'dengar', 'berita', 'iya', 'allah', 'lindungi', 'amp', 'ampuni', 'dosa2']",bbrapa mimpi jakarta sekitar kena gempa amp kacau keri dengar berita iya allah lindung amp ampun dosa2,3
@sayidulmustofa1905,PROSES PENURUNAN PERMUKAAN TANAN TAUNAN.,proses penurunan permukaan tanan taunan,proses penurunan permukaan tanan taunan,proses penurunan permukaan tanan taunan,"['proses', 'penurunan', 'permukaan', 'tanan', 'taunan']","['proses', 'penurunan', 'permukaan', 'taunan']",proses turun muka taun,2
@mlb02blacked36,"Bgmna meminimalisir nya ya dengan mengkoreksi diri masing-masing , dan tindakan yg harus di ambil dengan sesegera mungkin memperbaiki diri",bgmna meminimalisir nya ya dengan mengkoreksi diri masingmasing dan tindakan yg harus di ambil dengan sesegera mungkin memperbaiki diri,bgmna meminimalisir nya iya dengan mengkoreksi diri masingmasing dan tindakan yang harus di ambil dengan sesegera mungkin memperbaiki diri,bgmna meminimalisir nya iya mengkoreksi masingmasing tindakan ambil memperbaiki,"['bgmna', 'meminimalisir', 'nya', 'iya', 'mengkoreksi', 'masingmasing', 'tindakan', 'ambil', 'memperbaiki']","['bgmna', 'meminimalisir', 'nya', 'iya', 'mengkoreksi', 'masingmasing', 'tindakan', 'ambil', 'memperbaiki']",bgmna meminimalisir nya iya koreksi masingmasing tindak ambil baik,3
@stateloreofficial,Woooiii pada tobat!!!!!! Msh pd nga sadar...Tuhan sudah marah..blum murka....😓😓😓...,woooiii pada tobat msh pd nga sadartuhan sudah marahblum murka,woooiii pada tobat masih pada nga sadartuhan sudah marahblum murka,woooiii tobat nga sadartuhan marahblum murka,"['woooiii', 'tobat', 'nga', 'sadartuhan', 'marahblum', 'murka']","['woooiii', 'tobat', 'nga', 'sadartuhan', 'marahblum', 'murka']",woooiii tobat nga sadartuhan marahblum murka,1
@guepersija1507,"entah kita yg meninggalkan bumi dahulu atau bumi yg lebih dulu hancur ,🍻",entah kita yg meninggalkan bumi dahulu atau bumi yg lebih dulu hancur,entah kita yang meninggalkan bumi dahulu atau bumi yang lebih dahulu hancur,meninggalkan bumi bumi hancur,"['meninggalkan', 'bumi', 'bumi', 'hancur']","['meninggalkan', 'bumi', 'bumi', 'hancur']",tinggal bumi bumi hancur,2
@dimassukocoya7240,Selama  kita ngak maksiat ngak bakal ada sunami,selama kita ngak maksiat ngak bakal ada sunami,selama kita ngak maksiat ngak bakal ada sunami,ngak maksiat ngak sunami,"['ngak', 'maksiat', 'ngak', 'sunami']","['ngak', 'maksiat', 'ngak', 'sunami']",ngak maksiat ngak sunam,2
@AraAroAreMamiAyah475,RIP tsunami 20 meter,rip tsunami 20 meter,rip tsunami 20 meter,rip tsunami 20 meter,"['rip', 'tsunami', '20', 'meter']",['20'],20,1
@RPKChannel-cb6uj,"Sok tau BMKG prettttt....Gunung semeeu  batuk gg kepantau meski alat canggih nongkrong seumur hidup, BMKG bisa bacot setelah ada kjadian wkwkwk",sok tau bmkg pretttttgunung semeeu batuk gg kepantau meski alat canggih nongkrong seumur hidup bmkg bisa bacot setelah ada kjadian wkwkwk,sok tahu bmkg pretttttgunung semeeu batuk gg kepantau meski alat canggih kumpul-kumpul seumur hidup bmkg bisa banyak bicara setelah ada kjadian wkwkwk,sok bmkg pretttttgunung semeeu batuk gg kepantau alat canggih kumpul-kumpul seumur hidup bmkg bicara kjadian wkwkwk,"['sok', 'bmkg', 'pretttttgunung', 'semeeu', 'batuk', 'gg', 'kepantau', 'alat', 'canggih', 'kumpul-kumpul', 'seumur', 'hidup', 'bmkg', 'bicara', 'kjadian', 'wkwkwk']","['bmkg', 'pretttttgunung', 'semeeu', 'batuk', 'gg', 'kepantau', 'alat', 'canggih', 'kumpul-kumpul', 'seumur', 'hidup', 'bmkg', 'bicara', 'kjadian', 'wkwkwk']",bmkg pretttttgunung semeeu batuk gg pantau alat canggih kumpul umur hidup bmkg bicara kjadian wkwkwk,1
@nahabachannel5149,"Kekufuran terus merajalela, maka Allah Yang Maha Kuasa memberi teguran kepada bangsa ini agar mereka sadar dan melakukan tobat nasuha atas kesalahannya, jika pemimpin negeri ini tidak mau sadar maka ingat azab Allah sangat pedih",kekufuran terus merajalela maka allah yang maha kuasa memberi teguran kepada bangsa ini agar mereka sadar dan melakukan tobat nasuha atas kesalahannya jika pemimpin negeri ini tidak mau sadar maka ingat azab allah sangat pedih,kekufuran terus merajalela maka allah yang maha kuasa memberi teguran kepada bangsa ini agar mereka sadar dan melakukan tobat nasuha atas kesalahannya jika pemimpin negeri ini tidak mau sadar maka ingat azab allah sangat pedih,kekufuran merajalela allah maha kuasa teguran bangsa sadar tobat nasuha kesalahannya pemimpin negeri sadar azab allah pedih,"['kekufuran', 'merajalela', 'allah', 'maha', 'kuasa', 'teguran', 'bangsa', 'sadar', 'tobat', 'nasuha', 'kesalahannya', 'pemimpin', 'negeri', 'sadar', 'azab', 'allah', 'pedih']","['kekufuran', 'merajalela', 'allah', 'kuasa', 'teguran', 'bangsa', 'sadar', 'tobat', 'nasuha', 'kesalahannya', 'pemimpin', 'negeri', 'sadar', 'azab', 'allah', 'pedih']",kufur rajalela allah kuasa tegur bangsa sadar tobat nasuha salah pimpin negeri sadar azab allah pedih,1
@feryhermawan6659,Sepertinya potensi megathrust akan segera datang tetapi kita sebagai manusia hanya bisa pasrah kepada Allah SWT. Semoga kita semua selalu di lindungi dan diberi umur yg panjang oleh Allah SWT. Amiinn 🤲,sepertinya potensi megathrust akan segera datang tetapi kita sebagai manusia hanya bisa pasrah kepada allah swt semoga kita semua selalu di lindungi dan diberi umur yg panjang oleh allah swt amiinn,sepertinya potensi megathrust akan segera datang tetapi kita sebagai manusia hanya bisa pasrah kepada allah swt semoga kita semua selalu di lindungi dan diberi umur yang panjang oleh allah swt amiinn,potensi megathrust manusia pasrah allah swt semoga lindungi umur allah swt amiinn,"['potensi', 'megathrust', 'manusia', 'pasrah', 'allah', 'swt', 'semoga', 'lindungi', 'umur', 'allah', 'swt', 'amiinn']","['potensi', 'megathrust', 'manusia', 'pasrah', 'allah', 'swt', 'semoga', 'lindungi', 'umur', 'allah', 'swt', 'amiinn']",potensi megathrust manusia pasrah allah swt moga lindung umur allah swt amiinn,3
@kangi9264,"Yg kampung asalnya Wonosobo, disana terdapat desa tertinggi di pulau Jawa, yg punya rezeki bisa beli tanah dan bangun rumah disana, ya buat punya punya, jadi kalo ada peringatan tsunami kan setidaknya bisa ngungsi di sana, cuma masukkan saja, kalo mau silahkan kalo nggak mau ya tidak apa-apa 😎",yg kampung asalnya wonosobo disana terdapat desa tertinggi di pulau jawa yg punya rezeki bisa beli tanah dan bangun rumah disana ya buat punya punya jadi kalo ada peringatan tsunami kan setidaknya bisa ngungsi di sana cuma masukkan saja kalo mau silahkan kalo nggak mau ya tidak apaapa,yang kampung asalnya wonosobo disana terdapat desa tertinggi di pulau jawa yang punya rezeki bisa beli tanah dan bangun rumah disana iya buat punya punya jadi kalau ada peringatan tsunami akan setidaknya bisa ngungsi di sana cuma masukkan saja kalau mau silahkan kalau tidak mau iya tidak apaapa,kampung asalnya wonosobo disana desa tertinggi pulau jawa rezeki beli tanah bangun rumah disana iya peringatan tsunami ngungsi masukkan silahkan iya apaapa,"['kampung', 'asalnya', 'wonosobo', 'disana', 'desa', 'tertinggi', 'pulau', 'jawa', 'rezeki', 'beli', 'tanah', 'bangun', 'rumah', 'disana', 'iya', 'peringatan', 'tsunami', 'ngungsi', 'masukkan', 'silahkan', 'iya', 'apaapa']","['kampung', 'asalnya', 'wonosobo', 'disana', 'desa', 'tertinggi', 'pulau', 'jawa', 'rezeki', 'beli', 'tanah', 'bangun', 'rumah', 'disana', 'iya', 'peringatan', 'ngungsi', 'masukkan', 'silahkan', 'iya', 'apaapa']",kampung asal wonosobo sana desa tinggi pulau jawa rezeki beli tanah bangun rumah sana iya ingat ngungsi masuk silah iya apaapa,3
@navyaia6479,nah lho...dulu ada yang memprediksikan gempa besar malah dianggap provokator..sekarang BMkg mengakuinya...awass waspada dulur,nah lhodulu ada yang memprediksikan gempa besar malah dianggap provokatorsekarang bmkg mengakuinyaawass waspada dulur,nah lhodulu ada yang memprediksikan gempa besar bahkan dianggap provokatorsekarang bmkg mengakuinyaawass waspada dulur,lhodulu memprediksikan gempa dianggap provokatorsekarang bmkg mengakuinyaawass waspada dulur,"['lhodulu', 'memprediksikan', 'gempa', 'dianggap', 'provokatorsekarang', 'bmkg', 'mengakuinyaawass', 'waspada', 'dulur']","['lhodulu', 'memprediksikan', 'gempa', 'dianggap', 'provokatorsekarang', 'bmkg', 'mengakuinyaawass', 'waspada', 'dulur']",lhodulu prediksi gempa anggap provokatorsekarang bmkg mengakuinyaawass waspada dulur,3
@isapsaptari4195,"😔😔 ya Allah..semoga pulau jawa, kau jadikan pulau kambang..tidak bisa tenggelam..jadi kalo di terjang tsunami..cuma tersapu..Biar bisa keliling dunia dengan aman...Amin..😊",ya allahsemoga pulau jawa kau jadikan pulau kambangtidak bisa tenggelamjadi kalo di terjang tsunamicuma tersapubiar bisa keliling dunia dengan amanamin,iya allahsemoga pulau jawa kamu jadikan pulau kambangtidak bisa tenggelamjadi kalau di terjang tsunamicuma tersapubiar bisa keliling dunia dengan amanamin,iya allahsemoga pulau jawa jadikan pulau kambangtidak tenggelamjadi terjang tsunamicuma tersapubiar keliling dunia amanamin,"['iya', 'allahsemoga', 'pulau', 'jawa', 'jadikan', 'pulau', 'kambangtidak', 'tenggelamjadi', 'terjang', 'tsunamicuma', 'tersapubiar', 'keliling', 'dunia', 'amanamin']","['iya', 'allahsemoga', 'pulau', 'jawa', 'jadikan', 'pulau', 'kambangtidak', 'tenggelamjadi', 'terjang', 'tsunamicuma', 'tersapubiar', 'keliling', 'dunia', 'amanamin']",iya allahsemoga pulau jawa jadi pulau kambangtidak tenggelamjadi terjang tsunamicuma tersapubiar keliling dunia amanamin,3
@Ariengongju002,Kemrin tahun 2006 aceh juga gempa 9 koma .. semoga selalu dalam lindungan Allah Aamiin,kemrin tahun 2006 aceh juga gempa 9 koma semoga selalu dalam lindungan allah aamiin,kemarin tahun 2006 aceh juga gempa 9 koma semoga selalu dalam lindungan allah amin,kemarin 2006 aceh gempa 9 koma semoga lindungan allah amin,"['kemarin', '2006', 'aceh', 'gempa', '9', 'koma', 'semoga', 'lindungan', 'allah', 'amin']","['kemarin', '2006', 'aceh', 'gempa', '9', 'koma', 'semoga', 'lindungan', 'allah']",kemarin 2006 aceh gempa 9 koma moga lindung allah,3
@txternity494,stay safe kalian yg ada di pulau Jawa sama DKI Jakarta 🙏🏻,stay safe kalian yg ada di pulau jawa sama dki jakarta,stay safe kalian yang ada di pulau jawa sama daerah khusus ibukota jakarta,stay safe pulau jawa daerah khusus ibukota jakarta,"['stay', 'safe', 'pulau', 'jawa', 'daerah', 'khusus', 'ibukota', 'jakarta']","['pulau', 'jawa', 'daerah', 'khusus', 'ibukota', 'jakarta']",pulau jawa daerah khusus ibukota jakarta,3
@paintnatsuki5332,Bencana biasanya terjadi saat dilupakan,bencana biasanya terjadi saat dilupakan,bencana biasanya terjadi saat dilupakan,bencana dilupakan,"['bencana', 'dilupakan']","['bencana', 'dilupakan']",bencana lupa,2
@elkanarodjikan7504,Sekarang banyak sekali orang yang jadi peramal ..gempa dan sunami .aja bisa diramal..hebat ramalanya cuma untuk menakuti orang banyak ..meramal togel Hongkong untuk malam ini ..keluarnya berapa..kalo cocok ya itu namanya tukang ramal .kalo gempa dan sunami itu kuasa Tuhan..dak bisa diramal bro...,sekarang banyak sekali orang yang jadi peramal gempa dan sunami aja bisa diramalhebat ramalanya cuma untuk menakuti orang banyak meramal togel hongkong untuk malam ini keluarnya berapakalo cocok ya itu namanya tukang ramal kalo gempa dan sunami itu kuasa tuhandak bisa diramal bro,sekarang banyak sekali orang yang jadi peramal gempa dan sunami saja bisa diramalhebat ramalanya cuma untuk menakuti orang banyak meramal toto gelap hongkong untuk malam ini keluarnya berapakalo cocok iya itu namanya tukang ramal kalau gempa dan sunami itu kuasa tuhandak bisa diramal saudara laki-laki,orang peramal gempa sunami diramalhebat ramalanya menakuti orang meramal toto gelap hongkong malam keluarnya berapakalo cocok iya namanya tukang ramal gempa sunami kuasa tuhandak diramal saudara laki-laki,"['orang', 'peramal', 'gempa', 'sunami', 'diramalhebat', 'ramalanya', 'menakuti', 'orang', 'meramal', 'toto', 'gelap', 'hongkong', 'malam', 'keluarnya', 'berapakalo', 'cocok', 'iya', 'namanya', 'tukang', 'ramal', 'gempa', 'sunami', 'kuasa', 'tuhandak', 'diramal', 'saudara', 'laki-laki']","['peramal', 'gempa', 'sunami', 'diramalhebat', 'ramalanya', 'menakuti', 'meramal', 'gelap', 'hongkong', 'malam', 'keluarnya', 'berapakalo', 'cocok', 'iya', 'namanya', 'tukang', 'gempa', 'sunami', 'kuasa', 'tuhandak', 'diramal', 'saudara', 'laki-laki']",amal gempa sunam diramalhebat ramalanya takut ramal gelap hongkong malam keluar berapakalo cocok iya nama tukang gempa sunam kuasa tuhandak ramal saudara laki,1
@yokon-wb8sl,gara gara tanah banyak dilubangi,gara gara tanah banyak dilubangi,gara gara tanah banyak dilubangi,gara gara tanah dilubangi,"['gara', 'gara', 'tanah', 'dilubangi']","['tanah', 'dilubangi']",tanah lubang,1
@lemonade3037,Apalah artinya kita ini. Tsunami 20 meter itu bukan sesuatu yg mudah diatasi atau diantisipasi. Jika pemerintah tidak mengevakuasi lebih awal penduduk sekitar pantai hingga bbrp kilo ke daratan. Setidaknya bagi yang mau untuk dievakuasi.,apalah artinya kita ini tsunami 20 meter itu bukan sesuatu yg mudah diatasi atau diantisipasi jika pemerintah tidak mengevakuasi lebih awal penduduk sekitar pantai hingga bbrp kilo ke daratan setidaknya bagi yang mau untuk dievakuasi,apalah artinya kita ini tsunami 20 meter itu bukan sesuatu yang mudah diatasi atau diantisipasi jika pemerintah tidak mengevakuasi lebih awal penduduk sekitar pantai hingga beberapa kilo kah daratan setidaknya bagi yang mau untuk dievakuasi,apalah tsunami 20 meter mudah diatasi diantisipasi pemerintah mengevakuasi penduduk pantai kilo kah daratan dievakuasi,"['apalah', 'tsunami', '20', 'meter', 'mudah', 'diatasi', 'diantisipasi', 'pemerintah', 'mengevakuasi', 'penduduk', 'pantai', 'kilo', 'kah', 'daratan', 'dievakuasi']","['apalah', '20', 'mudah', 'diatasi', 'diantisipasi', 'pemerintah', 'mengevakuasi', 'penduduk', 'pantai', 'kah', 'daratan', 'dievakuasi']",apa 20 mudah atas antisipasi perintah evakuasi duduk pantai kah darat evakuasi,1
@dianaanggraini2081,Ya Allah.. lindungilah kami..jauhkan dr segala marabahaya 🤲,ya allah lindungilah kamijauhkan dr segala marabahaya,iya allah lindungilah kamijauhkan dari segala marabahaya,iya allah lindungilah kamijauhkan marabahaya,"['iya', 'allah', 'lindungilah', 'kamijauhkan', 'marabahaya']","['iya', 'allah', 'lindungilah', 'kamijauhkan', 'marabahaya']",iya allah lindung kamijauhkan marabahaya,3
@mangiyek3771,"BMKG, tolong bisa prediksi ga kira&quot; kapan terjadinya,,, tolong jangan nakut&quot;in rakyat,,",bmkg tolong bisa prediksi ga kiraquot kapan terjadinya tolong jangan nakutquotin rakyat,bmkg tolong bisa prediksi tidak kiraquot kapan terjadinya tolong jangan nakutquotin rakyat,bmkg tolong prediksi kiraquot tolong nakutquotin rakyat,"['bmkg', 'tolong', 'prediksi', 'kiraquot', 'tolong', 'nakutquotin', 'rakyat']","['bmkg', 'tolong', 'prediksi', 'kiraquot', 'tolong', 'nakutquotin', 'rakyat']",bmkg tolong prediksi kiraquot tolong nakutquotin rakyat,1
@rigoricci8,Terima kasih bmkg. Tinggal selanjut nya pemerintah sosialisasikan langkah langkah saat  menghadapi bencana. Baik berupa simulasi maupun edukasi sejak usia dini.,terima kasih bmkg tinggal selanjut nya pemerintah sosialisasikan langkah langkah saat menghadapi bencana baik berupa simulasi maupun edukasi sejak usia dini,terima kasih bmkg tinggal selanjut nya pemerintah sosialisasikan langkah langkah saat menghadapi bencana baik berupa simulasi maupun edukasi sejak usia dini,terima kasih bmkg tinggal selanjut nya pemerintah sosialisasikan langkah langkah menghadapi bencana simulasi edukasi usia,"['terima', 'kasih', 'bmkg', 'tinggal', 'selanjut', 'nya', 'pemerintah', 'sosialisasikan', 'langkah', 'langkah', 'menghadapi', 'bencana', 'simulasi', 'edukasi', 'usia']","['terima', 'kasih', 'bmkg', 'tinggal', 'selanjut', 'nya', 'pemerintah', 'sosialisasikan', 'langkah', 'langkah', 'menghadapi', 'bencana', 'simulasi', 'edukasi', 'usia']",terima kasih bmkg tinggal lanjut nya perintah sosialisasi langkah langkah hadap bencana simulasi edukasi usia,3
