author,comment,likes,published_at,is_reply,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@JalanBulan,kalau gak terjadi berarti hoax<br>hoax ada UU nya<br>Kita lihat apakah benar atau hoax?,0,2022-01-18T11:27:11Z,FALSE,kalau gak terjadi berarti hoaxbrhoax ada uu nyabrkita lihat apakah benar atau hoax,kalau tidak terjadi berarti isu bohong < baru > isu bohong ada undang-undang nya < baru > kita lihat apakah benar atau isu bohong ?,isu bohong < > isu bohong undang-undang nya < > lihat isu bohong ?,"['isu', 'bohong', '<', '>', 'isu', 'bohong', 'undang-undang', 'nya', '<', '>', 'lihat', 'isu', 'bohong', '?']","['isu', 'bohong', '<', '>', 'isu', 'bohong', 'undang-undang', 'nya', '<', '>', 'lihat', 'isu', 'bohong', '?']",isu bohong   isu bohong undang nya   lihat isu bohong,3
@fredpancake8326,Ngerti potensi ga sih ngnthod,0,2022-01-18T11:38:37Z,TRUE,ngerti potensi ga sih ngnthod,mengerti potensi tidak sih ngnthod,mengerti potensi sih ngnthod,"['mengerti', 'potensi', 'sih', 'ngnthod']","['mengerti', 'potensi', 'sih', 'ngnthod']",erti potensi sih ngnthod,1
@ahmadronii1919,"Perbanyak ibadah Kpd Allah swt ,zikir dan sholawat Kpd Rasulullah Saw ..<br>InsyaAllah dgn itu Allah singkir kan bala dan musibah 🤲🙏",0,2022-01-18T11:24:30Z,FALSE,perbanyak ibadah kpd allah swt zikir dan sholawat kpd rasulullah saw brinsyaallah dgn itu allah singkir kan bala dan musibah,"perbanyak ibadah kepada allah swt , zikir dan sholawat kepada rasulullah saw .. < baru > insyaallah dengan itu allah singkir akan bala dan musibah 🤲🙏","perbanyak ibadah allah swt , zikir sholawat rasulullah saw .. < > insyaallah allah singkir bala musibah 🤲🙏","['perbanyak', 'ibadah', 'allah', 'swt', ',', 'zikir', 'sholawat', 'rasulullah', 'saw', '..', '<', '>', 'insyaallah', 'allah', 'singkir', 'bala', 'musibah', '🤲🙏']","['perbanyak', 'ibadah', 'allah', 'swt', ',', 'zikir', 'sholawat', 'rasulullah', 'saw', '..', '<', '>', 'insyaallah', 'allah', 'singkir', 'bala', 'musibah', '🤲🙏']",banyak ibadah allah swt  zikir sholawat rasulullah saw    insyaallah allah singkir bala musibah,3
@wantowanto7925,Jangan BIKIN PANIK RAKYAT harus nya tapi edukasi. Bahwa negri. Ini rawan bencana dan harus selau siap san waspada .......,0,2022-01-18T11:23:42Z,FALSE,jangan bikin panik rakyat harus nya tapi edukasi bahwa negri ini rawan bencana dan harus selau siap san waspada,jangan bikin panik rakyat harus nya tapi edukasi . bahwa negeri . ini rawan bencana dan harus selau siap san waspada .......,bikin panik rakyat nya edukasi . negeri . rawan bencana selau san waspada .......,"['bikin', 'panik', 'rakyat', 'nya', 'edukasi', '.', 'negeri', '.', 'rawan', 'bencana', 'selau', 'san', 'waspada', '.......']","['bikin', 'panik', 'rakyat', 'nya', 'edukasi', '.', 'negeri', '.', 'rawan', 'bencana', 'selau', 'san', 'waspada', '.......']",bikin panik rakyat nya edukasi  negeri  rawan bencana selau san waspada,1
@athiya777,Doa bs merubah takdir...mk dri itu mari qta berdoa agar dilindungi Tuhan dari marabahaya  bencana,0,2022-01-18T11:21:36Z,FALSE,doa bs merubah takdirmk dri itu mari qta berdoa agar dilindungi tuhan dari marabahaya bencana,doa bisa merubah takdir ... mk dari itu mari qta berdoa agar dilindungi tuhan dari marabahaya bencana,doa merubah takdir ... mk mari qta berdoa dilindungi tuhan marabahaya bencana,"['doa', 'merubah', 'takdir', '...', 'mk', 'mari', 'qta', 'berdoa', 'dilindungi', 'tuhan', 'marabahaya', 'bencana']","['doa', 'merubah', 'takdir', '...', 'mk', 'mari', 'qta', 'berdoa', 'dilindungi', 'tuhan', 'marabahaya', 'bencana']",doa rubah takdir  mk mari qta doa lindung tuhan marabahaya bencana,3
@yudianmanuk2817,Bahaya dki jakatrta.(tnjung priok),0,2022-01-18T11:12:35Z,FALSE,bahaya dki jakatrtatnjung priok,bahaya daerah khusus ibukota jakatrta . ( tnjung priok ),bahaya daerah khusus ibukota jakatrta . ( tnjung priok ),"['bahaya', 'daerah', 'khusus', 'ibukota', 'jakatrta', '.', '(', 'tnjung', 'priok', ')']","['bahaya', 'daerah', 'khusus', 'ibukota', 'jakatrta', '.', '(', 'tnjung', 'priok', ')']",bahaya daerah khusus ibukota jakatrta   tnjung priok,2
@nyomannursari5689,Smoga segera terwujud megatrust demi membinasakan  pemimpin2 zalim di negeri ini dan memunculkan pemimpin2 baru yg bersih hati dan beriman kpd Alloh SWT... Amin2x YRA 🤲🤲,2,2022-01-18T11:06:51Z,FALSE,smoga segera terwujud megatrust demi membinasakan pemimpin2 zalim di negeri ini dan memunculkan pemimpin2 baru yg bersih hati dan beriman kpd alloh swt amin2x yra,smoga segera terwujud megatrust demi membinasakan pemimpin2 zalim di negeri ini dan memunculkan pemimpin2 baru yang bersih hati dan beriman kepada alloh swt ... amin2x yra 🤲🤲,smoga terwujud megatrust membinasakan pemimpin2 zalim negeri memunculkan pemimpin2 bersih hati beriman alloh swt ... amin2x yra 🤲🤲,"['smoga', 'terwujud', 'megatrust', 'membinasakan', 'pemimpin2', 'zalim', 'negeri', 'memunculkan', 'pemimpin2', 'bersih', 'hati', 'beriman', 'alloh', 'swt', '...', 'amin2x', 'yra', '🤲🤲']","['smoga', 'terwujud', 'megatrust', 'membinasakan', 'pemimpin2', 'zalim', 'negeri', 'memunculkan', 'pemimpin2', 'bersih', 'hati', 'beriman', 'alloh', 'swt', '...', 'amin2x', 'yra', '🤲🤲']",smoga wujud megatrust binasa pemimpin2 zalim negeri muncul pemimpin2 bersih hati iman alloh swt  amin2x yra,3
@ahmadsh-tq5xi,itu sdh hukum alam.. tdk dpt di cegah hanya bisa berdoa dan waspada sllu siaga kapanpun dan dimanapun berada..,0,2022-01-18T11:04:04Z,FALSE,itu sdh hukum alam tdk dpt di cegah hanya bisa berdoa dan waspada sllu siaga kapanpun dan dimanapun berada,itu sudah hukum alam .. tidak dapat di cegah hanya bisa berdoa dan waspada selalu siaga kapanpun dan dimanapun berada ..,hukum alam .. cegah berdoa waspada siaga dimanapun ..,"['hukum', 'alam', '..', 'cegah', 'berdoa', 'waspada', 'siaga', 'dimanapun', '..']","['hukum', 'alam', '..', 'cegah', 'berdoa', 'waspada', 'siaga', 'dimanapun', '..']",hukum alam  cegah doa waspada siaga mana,3
@Donowai,Ini ga bisa lebih spesifik ya kita harus bagaimana kalau di rumah atau dikantor..,0,2022-01-18T11:03:55Z,FALSE,ini ga bisa lebih spesifik ya kita harus bagaimana kalau di rumah atau dikantor,ini tidak bisa lebih spesifik iya kita harus bagaimana kalau di rumah atau dikantor ..,spesifik iya rumah dikantor ..,"['spesifik', 'iya', 'rumah', 'dikantor', '..']","['spesifik', 'iya', 'rumah', 'dikantor', '..']",spesifik iya rumah kantor,3
@andre4839,Sunami terbesar dalam sejarah itu paling jauh bisa menerjang sampai berapa km sih?rumahku  15km dr laut..jadi takut.,0,2022-01-18T11:00:18Z,FALSE,sunami terbesar dalam sejarah itu paling jauh bisa menerjang sampai berapa km sihrumahku 15km dr lautjadi takut,sunami terbesar dalam sejarah itu paling jauh bisa menerjang sampai berapa kamu sih ? rumahku 15km dari laut .. jadi takut .,sunami terbesar sejarah menerjang sih ? rumahku 15km laut .. takut .,"['sunami', 'terbesar', 'sejarah', 'menerjang', 'sih', '?', 'rumahku', '15km', 'laut', '..', 'takut', '.']","['sunami', 'terbesar', 'sejarah', 'menerjang', 'sih', '?', 'rumahku', '15km', 'laut', '..', 'takut', '.']",sunam besar sejarah terjang sih  rumah 15km laut  takut,2
@taiayam6178,Pas ada info gni. Para cwe komen lindungi kami ya Allah. Pas dirumah goyang pargoy pamer pantat dan apem nyemplak. Lu waras gk?,0,2022-01-18T10:57:23Z,FALSE,pas ada info gni para cwe komen lindungi kami ya allah pas dirumah goyang pargoy pamer pantat dan apem nyemplak lu waras gk,pas ada informasi gni . para cwe komen lindungi kami iya allah . pas dirumah goyang pargoy pamer pantat dan apem nyemplak . kamu waras tidak ?,pas informasi gni . cwe komen lindungi iya allah . pas dirumah goyang pargoy pamer pantat apem nyemplak . waras ?,"['pas', 'informasi', 'gni', '.', 'cwe', 'komen', 'lindungi', 'iya', 'allah', '.', 'pas', 'dirumah', 'goyang', 'pargoy', 'pamer', 'pantat', 'apem', 'nyemplak', '.', 'waras', '?']","['pas', 'informasi', 'gni', '.', 'cwe', 'komen', 'lindungi', 'iya', 'allah', '.', 'pas', 'dirumah', 'goyang', 'pargoy', 'pamer', 'pantat', 'apem', 'nyemplak', '.', 'waras', '?']",pas informasi gni  cwe komen lindung iya allah  pas rumah goyang pargoy pamer pantat apem nyemplak  waras,1
@hendrikaltsamud5863,"BMKG hy menakut nakuiti saja krja nya,, tau dr mana ko bisa mengetahui secara matematis nya???? Padhl belum terjadi ko sdh di prediksi kekuatan nya???? klo bgtu rakyat juga bisa ber gumam atw ber asumsi nanti gempa bakal menimpa jatim dan jateng, bagaimana tanggapan anda wahai ketua BMKG???????",0,2022-01-18T10:55:05Z,FALSE,bmkg hy menakut nakuiti saja krja nya tau dr mana ko bisa mengetahui secara matematis nya padhl belum terjadi ko sdh di prediksi kekuatan nya klo bgtu rakyat juga bisa ber gumam atw ber asumsi nanti gempa bakal menimpa jatim dan jateng bagaimana tanggapan anda wahai ketua bmkg,"bmkg hy menakut nakuiti saja krja nya , , tahu dari mana ko bisa mengetahui secara matematis nya ? ? ? ? padhl belum terjadi ko sudah di prediksi kekuatan nya ? ? ? ? kalau begitu rakyat juga bisa ber gumam atw ber asumsi nanti gempa bakal menimpa jawa timur dan jateng , bagaimana tanggapan anda wahai ketua bmkg ? ? ? ? ? ? ?","bmkg hy menakut nakuiti krja nya , , ko matematis nya ? ? ? ? padhl ko prediksi kekuatan nya ? ? ? ? rakyat ber gumam atw ber asumsi gempa menimpa jawa timur jateng , tanggapan ketua bmkg ? ? ? ? ? ? ?","['bmkg', 'hy', 'menakut', 'nakuiti', 'krja', 'nya', ',', ',', 'ko', 'matematis', 'nya', '?', '?', '?', '?', 'padhl', 'ko', 'prediksi', 'kekuatan', 'nya', '?', '?', '?', '?', 'rakyat', 'ber', 'gumam', 'atw', 'ber', 'asumsi', 'gempa', 'menimpa', 'jawa', 'timur', 'jateng', ',', 'tanggapan', 'ketua', 'bmkg', '?', '?', '?', '?', '?', '?', '?']","['bmkg', 'hy', 'menakut', 'nakuiti', 'krja', 'nya', ',', ',', 'ko', 'matematis', 'nya', '?', '?', '?', '?', 'padhl', 'ko', 'prediksi', 'kekuatan', 'nya', '?', '?', '?', '?', 'rakyat', 'ber', 'gumam', 'atw', 'ber', 'asumsi', 'gempa', 'menimpa', 'jawa', 'timur', 'jateng', ',', 'tanggapan', 'ketua', 'bmkg', '?', '?', '?', '?', '?', '?', '?']",bmkg hy takut nakuiti krja nya   ko matematis nya     padhl ko prediksi kuat nya     rakyat ber gumam atw ber asumsi gempa timpa jawa timur jateng  tanggap ketua bmkg,1
@risnawati4422,Sudah waktunya,0,2022-01-18T10:54:59Z,FALSE,sudah waktunya,sudah waktunya,,[],[],,2
@lubisaapaja9192,Kmaren gempa gk ada ngomong apa2,0,2022-01-18T10:49:45Z,FALSE,kmaren gempa gk ada ngomong apa2,kmaren gempa tidak ada bicara apa2,kmaren gempa bicara apa2,"['kmaren', 'gempa', 'bicara', 'apa2']","['kmaren', 'gempa', 'bicara', 'apa2']",kmaren gempa bicara apa2,1
@acusyam1765,Kapan bos itu akn terjadinya,0,2022-01-18T10:46:05Z,FALSE,kapan bos itu akn terjadinya,kapan bos itu akan terjadinya,bos,['bos'],['bos'],bos,2
@purwanto8481,"Gempa ???? ,gpp kaya miskin ikut merasakan nya.",0,2022-01-18T10:44:27Z,FALSE,gempa gpp kaya miskin ikut merasakan nya,"gempa ? ? ? ? , tidak apa-apa kaya miskin ikut merasakan nya .","gempa ? ? ? ? , apa-apa kaya miskin merasakan nya .","['gempa', '?', '?', '?', '?', ',', 'apa-apa', 'kaya', 'miskin', 'merasakan', 'nya', '.']","['gempa', '?', '?', '?', '?', ',', 'apa-apa', 'kaya', 'miskin', 'merasakan', 'nya', '.']",gempa      apa kaya miskin rasa nya,3
@robipurnama3575,Subhanallah..andaikan megatras  9 Kla  Jakarta hancur JD laut  ...ya Alloh,0,2022-01-18T10:44:02Z,FALSE,subhanallahandaikan megatras 9 kla jakarta hancur jd laut ya alloh,subhanallah .. andaikan megatras 9 kla jakarta hancur jadi laut ... iya alloh,subhanallah .. andaikan megatras 9 kla jakarta hancur laut ... iya alloh,"['subhanallah', '..', 'andaikan', 'megatras', '9', 'kla', 'jakarta', 'hancur', 'laut', '...', 'iya', 'alloh']","['subhanallah', '..', 'andaikan', 'megatras', '9', 'kla', 'jakarta', 'hancur', 'laut', '...', 'iya', 'alloh']",subhanallah  andai megatras 9 kla jakarta hancur laut  iya alloh,3
@swanong7807,"Dengan Segala Hormat Lindungi Jawa Barat,Jawa Tengah,Jawa Timur.....Amin....Gbu",0,2022-01-18T10:39:55Z,FALSE,dengan segala hormat lindungi jawa baratjawa tengahjawa timuramingbu,"dengan segala hormat lindungi jawa barat , jawa tengah , jawa timur ..... amin .... gbu","hormat lindungi jawa barat , jawa , jawa timur ..... amin .... gbu","['hormat', 'lindungi', 'jawa', 'barat', ',', 'jawa', ',', 'jawa', 'timur', '.....', 'amin', '....', 'gbu']","['hormat', 'lindungi', 'jawa', 'barat', ',', 'jawa', ',', 'jawa', 'timur', '.....', 'amin', '....', 'gbu']",hormat lindung jawa barat  jawa  jawa timur  amin  gbu,3
@suryantigibran6154,Ya Allah lindungi kami ya Allah,0,2022-01-18T10:37:25Z,FALSE,ya allah lindungi kami ya allah,iya allah lindungi kami iya allah,iya allah lindungi iya allah,"['iya', 'allah', 'lindungi', 'iya', 'allah']","['iya', 'allah', 'lindungi', 'iya', 'allah']",iya allah lindung iya allah,3
@aanganggara925,"لا تقوم الساعة حتى يُقبض العلم، وتكثر الزلازل، ويتقارب الزمان، وتظهر الفتن &quot;Tidak akan terjadi hari kiamat kecuali setelah hilangnya ilmu, banyak terjadi gempa, waktu seakan berjalan dengan cepat, dan timbul berbagai macam fitnah.” (HR Bukhari).",0,2022-01-18T10:32:10Z,FALSE,quottidak akan terjadi hari kiamat kecuali setelah hilangnya ilmu banyak terjadi gempa waktu seakan berjalan dengan cepat dan timbul berbagai macam fitnah hr bukhari,"لا تقوم الساعة حتى يُقبض العلم، وتكثر الزلازل، ويتقارب الزمان، وتظهر الفتن dan quot ; tidak akan terjadi hari kiamat kecuali setelah hilangnya ilmu , banyak terjadi gempa , waktu seakan berjalan dengan cepat , dan timbul berbagai macam fitnah. ” ( hari bukhari ) .","لا تقوم الساعة حتى يُقبض العلم، وتكثر الزلازل، ويتقارب الزمان، وتظهر الفتن quot ; kiamat kecuali hilangnya ilmu , gempa , seakan berjalan cepat , timbul fitnah . ” ( bukhari ) .","['لا', 'تقوم', 'الساعة', 'حتى', 'يُقبض', 'العلم،', 'وتكثر', 'الزلازل،', 'ويتقارب', 'الزمان،', 'وتظهر', 'الفتن', 'quot', ';', 'kiamat', 'kecuali', 'hilangnya', 'ilmu', ',', 'gempa', ',', 'seakan', 'berjalan', 'cepat', ',', 'timbul', 'fitnah', '.', '”', '(', 'bukhari', ')', '.']","['لا', 'تقوم', 'الساعة', 'حتى', 'يُقبض', 'العلم،', 'وتكثر', 'الزلازل،', 'ويتقارب', 'الزمان،', 'وتظهر', 'الفتن', 'quot', ';', 'kiamat', 'kecuali', 'hilangnya', 'ilmu', ',', 'gempa', ',', 'seakan', 'berjalan', 'cepat', ',', 'timbul', 'fitnah', '.', '”', '(', 'bukhari', ')', '.']",quot  kiamat kecuali hilang ilmu  gempa  akan jalan cepat  timbul fitnah    bukhari,3
@asepdanysaputra9331,Ya allah yarobbi...jauhkanlah dari musibah yg sngat dahsyat ini...maafkanlah kesalahan hammba...aamiin...,0,2022-01-18T10:26:11Z,FALSE,ya allah yarobbijauhkanlah dari musibah yg sngat dahsyat inimaafkanlah kesalahan hammbaaamiin,iya allah yarobbi ... jauhkanlah dari musibah yang sngat dahsyat ini ... maafkanlah kesalahan hammba ... amin ...,iya allah yarobbi ... jauhkanlah musibah sngat dahsyat ... maafkanlah kesalahan hammba ... amin ...,"['iya', 'allah', 'yarobbi', '...', 'jauhkanlah', 'musibah', 'sngat', 'dahsyat', '...', 'maafkanlah', 'kesalahan', 'hammba', '...', 'amin', '...']","['iya', 'allah', 'yarobbi', '...', 'jauhkanlah', 'musibah', 'sngat', 'dahsyat', '...', 'maafkanlah', 'kesalahan', 'hammba', '...', 'amin', '...']",iya allah yarobbi  jauh musibah sngat dahsyat  maaf salah hammba  amin,3
@putraazam1837,"Semoga gempa bumi bisa membuat seluruh penduduk sadar akan kebesaran tuhan yang esa, jangan dianggap kejadian alam biasa siapa tau musibah gempa itu peringatan allah swt, baru beberapa detik aja udah pada kocar kacir apalagi kalau digoncang lebih besar,",0,2022-01-18T10:24:53Z,FALSE,semoga gempa bumi bisa membuat seluruh penduduk sadar akan kebesaran tuhan yang esa jangan dianggap kejadian alam biasa siapa tau musibah gempa itu peringatan allah swt baru beberapa detik aja udah pada kocar kacir apalagi kalau digoncang lebih besar,"semoga gempa bumi bisa membuat seluruh penduduk sadar akan kebesaran tuhan yang esa , jangan dianggap kejadian alam biasa siapa tahu musibah gempa itu peringatan allah swt , baru beberapa detik saja sudah pada kocar kacir apalagi kalau digoncang lebih besar ,","semoga gempa bumi penduduk sadar kebesaran tuhan esa , dianggap kejadian alam musibah gempa peringatan allah swt , detik kocar kacir digoncang ,","['semoga', 'gempa', 'bumi', 'penduduk', 'sadar', 'kebesaran', 'tuhan', 'esa', ',', 'dianggap', 'kejadian', 'alam', 'musibah', 'gempa', 'peringatan', 'allah', 'swt', ',', 'detik', 'kocar', 'kacir', 'digoncang', ',']","['semoga', 'gempa', 'bumi', 'penduduk', 'sadar', 'kebesaran', 'tuhan', 'esa', ',', 'dianggap', 'kejadian', 'alam', 'musibah', 'gempa', 'peringatan', 'allah', 'swt', ',', 'detik', 'kocar', 'kacir', 'digoncang', ',']",moga gempa bumi duduk sadar besar tuhan esa  anggap jadi alam musibah gempa ingat allah swt  detik kocar kacir digoncang,3
@sebelah2327,"Ring of Fire, tetap Waspada🇲🇨",0,2022-01-18T10:16:03Z,FALSE,ring of fire tetap waspada,"ring of fire , tetap waspada🇲🇨","ring of fire , waspada🇲🇨","['ring', 'of', 'fire', ',', 'waspada🇲🇨']","['ring', 'of', 'fire', ',', 'waspada🇲🇨']",ring of fire  waspada,3
@zyl9095,🙏🙏🙏,0,2022-01-18T10:14:59Z,FALSE,,🙏🙏🙏,🙏🙏🙏,['🙏🙏🙏'],['🙏🙏🙏'],,3
@robiddinik8222,awas gempa mega tras warga di himbau pakai masker dan rajin cuci tangan,0,2022-01-18T10:12:24Z,FALSE,awas gempa mega tras warga di himbau pakai masker dan rajin cuci tangan,awas gempa mega tras warga di himbau pakai masker dan rajin cuci tangan,awas gempa mega tras warga himbau pakai masker rajin cuci tangan,"['awas', 'gempa', 'mega', 'tras', 'warga', 'himbau', 'pakai', 'masker', 'rajin', 'cuci', 'tangan']","['awas', 'gempa', 'mega', 'tras', 'warga', 'himbau', 'pakai', 'masker', 'rajin', 'cuci', 'tangan']",awas gempa mega tras warga himbau pakai masker rajin cuci tangan,3
@gunawangunawan133,"Mereka KAN HADIR dan kita Akan bagaimana ,merasakan,melihat bahkan munvkin jadi korban...",0,2022-01-18T10:08:58Z,FALSE,mereka kan hadir dan kita akan bagaimana merasakanmelihat bahkan munvkin jadi korban,"mereka akan hadir dan kita akan bagaimana , merasakan , melihat bahkan munvkin jadi korban ...","hadir , merasakan , munvkin korban ...","['hadir', ',', 'merasakan', ',', 'munvkin', 'korban', '...']","['hadir', ',', 'merasakan', ',', 'munvkin', 'korban', '...']",hadir  rasa  munvkin korban,3
@Ganjarnugraha_adv,Ya Allah.. cicilan motor blm lunas lg,0,2022-01-18T10:05:15Z,FALSE,ya allah cicilan motor blm lunas lg,iya allah .. cicilan motor belum lunas lagi,iya allah .. cicilan motor lunas,"['iya', 'allah', '..', 'cicilan', 'motor', 'lunas']","['iya', 'allah', '..', 'cicilan', 'motor', 'lunas']",iya allah  cicil motor lunas,3
@yancegame2584,Skala 9 sudah kelas berat... bukan kelas ringan lg... serem banget,0,2022-01-18T10:03:55Z,FALSE,skala 9 sudah kelas berat bukan kelas ringan lg serem banget,skala 9 sudah kelas berat ... bukan kelas ringan lagi ... serem banget,skala 9 kelas berat ... kelas ringan ... serem banget,"['skala', '9', 'kelas', 'berat', '...', 'kelas', 'ringan', '...', 'serem', 'banget']","['skala', '9', 'kelas', 'berat', '...', 'kelas', 'ringan', '...', 'serem', 'banget']",skala 9 kelas berat  kelas ringan  rem banget,3
@waluhlezat2307,"ayooo yg pada open BO , segera tobat",0,2022-01-18T09:45:17Z,FALSE,ayooo yg pada open bo segera tobat,"ayooo yang pada open bo , segera tobat","ayooo open bo , tobat","['ayooo', 'open', 'bo', ',', 'tobat']","['ayooo', 'open', 'bo', ',', 'tobat']",ayooo open bo  tobat,1
@hambatuhan5751,Salam dr malaysia,0,2022-01-18T09:33:40Z,FALSE,salam dr malaysia,salam dari malaysia,salam malaysia,"['salam', 'malaysia']","['salam', 'malaysia']",salam malaysia,2
@calonbos7431,Inilah murka yg diturunkan akibat ketidak adilan di negeri ini 👆🏻 <br>Perbanyak sholawat dan istiqfar 🤲🏻,0,2022-01-18T09:20:33Z,FALSE,inilah murka yg diturunkan akibat ketidak adilan di negeri ini brperbanyak sholawat dan istiqfar,inilah murka yang diturunkan akibat ketidak adilan di negeri ini 👆🏻 < baru > perbanyak sholawat dan istiqfar 🤲🏻,murka diturunkan akibat ketidak adilan negeri 👆🏻 < > perbanyak sholawat istiqfar 🤲🏻,"['murka', 'diturunkan', 'akibat', 'ketidak', 'adilan', 'negeri', '👆🏻', '<', '>', 'perbanyak', 'sholawat', 'istiqfar', '🤲🏻']","['murka', 'diturunkan', 'akibat', 'ketidak', 'adilan', 'negeri', '👆🏻', '<', '>', 'perbanyak', 'sholawat', 'istiqfar', '🤲🏻']",murka turun akibat tidak adil negeri    banyak sholawat istiqfar,1
@dwitaanggraeni7509,Ya Allah selamatkan keluargaku semuanyaa dari bencana dan musibah apapun 😭,3,2022-01-18T09:05:04Z,FALSE,ya allah selamatkan keluargaku semuanyaa dari bencana dan musibah apapun,iya allah selamatkan keluargaku semuanyaa dari bencana dan musibah apapun 😭,iya allah selamatkan keluargaku semuanyaa bencana musibah apapun 😭,"['iya', 'allah', 'selamatkan', 'keluargaku', 'semuanyaa', 'bencana', 'musibah', 'apapun', '😭']","['iya', 'allah', 'selamatkan', 'keluargaku', 'semuanyaa', 'bencana', 'musibah', 'apapun', '😭']",iya allah selamat keluarga semuanyaa bencana musibah apa,3
@mreza4702,Pulau jawa Dan jakarta ? Hah gimana 😕😕,0,2022-01-18T09:03:20Z,FALSE,pulau jawa dan jakarta hah gimana,pulau jawa dan jakarta ? hah bagaimana 😕😕,pulau jawa jakarta ? hah 😕😕,"['pulau', 'jawa', 'jakarta', '?', 'hah', '😕😕']","['pulau', 'jawa', 'jakarta', '?', 'hah', '😕😕']",pulau jawa jakarta  hah,2
@IJUPLEH,"Sekarang jakarta tidak di jawa?, kok judulnya jawa &amp; jakarta",0,2022-01-18T08:54:42Z,FALSE,sekarang jakarta tidak di jawa kok judulnya jawa amp jakarta,"sekarang jakarta tidak di jawa ? , kok judulnya jawa dan amp ; jakarta","jakarta jawa ? , judulnya jawa amp ; jakarta","['jakarta', 'jawa', '?', ',', 'judulnya', 'jawa', 'amp', ';', 'jakarta']","['jakarta', 'jawa', '?', ',', 'judulnya', 'jawa', 'amp', ';', 'jakarta']",jakarta jawa   judul jawa amp  jakarta,3
@koeswandi9643,Ramalan ...! Yg penting percaya yg Di ATAS.,0,2022-01-18T08:51:06Z,FALSE,ramalan yg penting percaya yg di atas,ramalan ... ! yang penting percaya yang di atas .,ramalan ... ! percaya .,"['ramalan', '...', '!', 'percaya', '.']","['ramalan', '...', '!', 'percaya', '.']",ramal   percaya,3
@ujangnuralam6138,Kalo udah kejadian aja <br>heboh malah cenderung nakut2in,0,2022-01-18T08:30:45Z,FALSE,kalo udah kejadian aja brheboh malah cenderung nakut2in,kalau sudah kejadian saja < baru > heboh bahkan cenderung nakut2in,kejadian < > heboh cenderung nakut2in,"['kejadian', '<', '>', 'heboh', 'cenderung', 'nakut2in']","['kejadian', '<', '>', 'heboh', 'cenderung', 'nakut2in']",jadi   heboh cenderung nakut2in,1
@sitymariyamshorts1325,Mudah-mudahan Tidak Terjadi apa yang diperkirakan BMKG<br>Untuk BMKG terima kasih telah mengingatkan kami<br>Banyak² berdoa kepada yang maha kuasa,0,2022-01-18T08:30:13Z,FALSE,mudahmudahan tidak terjadi apa yang diperkirakan bmkgbruntuk bmkg terima kasih telah mengingatkan kamibrbanyak berdoa kepada yang maha kuasa,mudah-mudahan tidak terjadi apa yang diperkirakan bmkg < baru > untuk bmkg terima kasih telah mengingatkan kami < baru > banyak² berdoa kepada yang maha kuasa,mudah-mudahan bmkg < > bmkg terima kasih < > banyak² berdoa maha kuasa,"['mudah-mudahan', 'bmkg', '<', '>', 'bmkg', 'terima', 'kasih', '<', '>', 'banyak²', 'berdoa', 'maha', 'kuasa']","['mudah-mudahan', 'bmkg', '<', '>', 'bmkg', 'terima', 'kasih', '<', '>', 'banyak²', 'berdoa', 'maha', 'kuasa']",mudah bmkg   bmkg terima kasih   banyak doa maha kuasa,3
@maryt6836,Semoga tidak begitu besar. Jakarta apakah berada diluar pulau Jawa ? 🤦🤦🤦,0,2022-01-18T08:21:15Z,FALSE,semoga tidak begitu besar jakarta apakah berada diluar pulau jawa,semoga tidak begitu besar . jakarta apakah berada diluar pulau jawa ? 🤦🤦🤦,semoga . jakarta diluar pulau jawa ? 🤦🤦🤦,"['semoga', '.', 'jakarta', 'diluar', 'pulau', 'jawa', '?', '🤦🤦🤦']","['semoga', '.', 'jakarta', 'diluar', 'pulau', 'jawa', '?', '🤦🤦🤦']",moga  jakarta luar pulau jawa,2
@AbdulHamid-wp7iw,"Mari banyak banyak bertaubat sebelum ajal menjemput, terutama bagi yang memecah belah umat demi kekayaan sementara, baik yang bayar maupun yang dibayar.",0,2022-01-18T08:01:13Z,FALSE,mari banyak banyak bertaubat sebelum ajal menjemput terutama bagi yang memecah belah umat demi kekayaan sementara baik yang bayar maupun yang dibayar,"mari banyak banyak bertaubat sebelum ajal menjemput , terutama bagi yang memecah belah umat demi kekayaan sementara , baik yang bayar maupun yang dibayar .","mari bertaubat ajal menjemput , memecah belah umat kekayaan , bayar dibayar .","['mari', 'bertaubat', 'ajal', 'menjemput', ',', 'memecah', 'belah', 'umat', 'kekayaan', ',', 'bayar', 'dibayar', '.']","['mari', 'bertaubat', 'ajal', 'menjemput', ',', 'memecah', 'belah', 'umat', 'kekayaan', ',', 'bayar', 'dibayar', '.']",mari taubat ajal jemput  pecah belah umat kaya  bayar bayar,3
@igorelok4275,Ya Tuhan lindungi keluarga ku dan bangsa ini dr bencana....,0,2022-01-18T07:50:19Z,FALSE,ya tuhan lindungi keluarga ku dan bangsa ini dr bencana,iya tuhan lindungi keluarga ku dan bangsa ini dari bencana ....,iya tuhan lindungi keluarga ku bangsa bencana ....,"['iya', 'tuhan', 'lindungi', 'keluarga', 'ku', 'bangsa', 'bencana', '....']","['iya', 'tuhan', 'lindungi', 'keluarga', 'ku', 'bangsa', 'bencana', '....']",iya tuhan lindung keluarga ku bangsa bencana,3
